,Title,Rating,Employee_Status,Pros,Cons,Date_Posted,Employee_Title,Location,
401,Beginner level mistakes are still frequent,2,"Former Employee, less than 1 year",Salaries are high because they have a hard time attracting good talent.,"Management at Pittsburgh office is mostly incompetent. Some leaders are clueless to the role they serve, being too smart to ever consider they don't know what they are doing. They are making beginner level mistakes with regards to how to manage people and not putting competent people in important roles. They manage to miss deadline after deadline because they realize they have built so much framework on an inadequate foundation, which makes everything new hard. Constant fighting with corporate office in Boston creates more chaos and a lack of leadership or direction. There are smart people at Aptiv, however - the really smart people leave quickly.",02-Jan-19, Prefer Not to Say in Pittsburgh, PA,
402,Good entry level job,3,"Former Employee, less than 1 year","Good set of skills adquired, work is engaging.",Position advancement based on first-come first served basis and not based on performance or merit.,02-Dec-19, Technical Designer in Juárez, Chihuahua, Chihuahua
403,Great Management,4,"Former Employee, less than 1 year",Good Management system and good pay,Less employee benefits and Team spirit is low,24-Jul-19, IT Specialist in Detroit, MI,
404,Overall Good,4,"Current Employee, more than 3 years","Overall Work Culture is Fine. Salary is Fair. Flexible Timings. Work from Home Options (based on roles & responsibility). Freedom to express when it comes to work. Domination on Employees is less. Work Results were always appreciated & acknowledged through certifications & rewards. Hardwork is always recognized. In certain ways, People caring they execute. Work life balance possible, if expectations are kept always less. Workload depends on the project one works.","Cafeteria Facilities are worse. Career growth inside the Organization is heavily limited. Designation will not be given even for well experienced. Expectations are always high. Less Engineering Resources. Abroad Opportunities are less, if one looks for it. Besides, taking up Aboard Trips from start till bill settlement is hectic.",08-Feb-19, Senior Technical Leader in Bangalore,,
405,Short Term Review,4,"Current Employee, more than 1 year",There is a pretty flexible work schedule with a quick assignment of responsibilities.,Benefits aren't as competitive as I hoped while on-boarding process isn't very clear and concise.,23-Jul-19, Mechanical Engineer ,,
406,Decent,3,"Current Employee, more than 3 years","Good benefits, knowledgeable coworkers. Great opportunity to gain technical knowledge in some roles","Upper management seems too focused on company politics, which prevents actual development and success",25-Nov-19, Electrical Engineer in Troy, MI,
407,Good company and environment,4,"Current Employee, more than 1 year",Good Pay Nice Colleagues Good work Immense opportunities,Worst canteen. Bachelors struggle for food. No fun at work,25-May-19, Senior Technical Leader in Bangalore,,
408,"Easy work, pay is alright. Almost not worth the internal nonsense if you know your value and won’t compromise that.",2,"Current Employee, less than 1 year","Snacks, gym, company phone. 1 free meal a week and the benefits are ok. And the job itself is cool and cutting edge. Most of the people are cool and will get down after work.","Benefits are expensive and require somewhat significant additional costs ( hope you don’t actually need healthcare) the management is more talk than action and tell you to do one thing and they do another (usually something they told you not to do) Communication is poor at times, seems like they don’t pass on the important stuff to one another. HR is a nightmare and deliberately targets workers with what seems like impunity and personal motivations. The free meal every week is at times questionable (undercooked chicken and stuff like that) the lunch break is a bit short. Drivers voice concerns and they don’t seem to hold a lot of value, even with things concerning safety or similar issues. Overall the environment is a “do as I say, not as I do” mentality, and if you don’t like it leave. You have a personal life? That’s fine as long as it doesn’t interfere with your job of being a taxi driver. Favoritism is alive and well, but don’t say anything about it. They know and don’t seem to care. The people who take it serious and want to do the best they can and are genuine don’t matter. Fake it until you make it is the name of the game. Oh and want to make one of those confidential complaints or report an issue? Better do it from somewhere else because the so called line and website to do so is not even accessible from your work phone or office WiFi, and the number provided is apparently disconnected and unreachable! If you are looking to waste your time but collect a check this is for you! Show up, shut up, and do the minimum is the name of the game. And their so called transparency is just that, so called. They tell you what you want to hear and you’re supposed to like it.",22-Jun-19, Vehicle Operator ,,
409,"good people, poor values",1,Former Employee,"Good teams, dedicated people, truly international company","Aptiv do not care about its own people, became US centric since few years",17-Jan-20, Anonymous Employee ,,
410,Financial Jenga pulling out as many things as possible before it falls,2,"Former Employee, more than 3 years",In a lean organization you get exposure to many things above your pay grade,It is distracting when you are concerned that another round of restructuring will catch you in their net.,18-Oct-19, Learning and Development Manager in Detroit, MI,
411,Customer Service,3,"Former Employee, more than 3 years",#NAME?,#NAME?,01-Dec-19, Customer Service Representative in Nürnberg,,
412,Supply Chain,3,"Current Employee, less than 1 year",Great Products. Growth. Continuous Learning.,Travel outside of Region. Travel in security challenged areas.,15-Nov-19, PC&L Manager in Troy, MI,
413,Give you the opportunity to be out of your comfort zone & continuously improve your managerial skills.,4,"Current Employee, less than 1 year",#NAME?,#NAME?,22-Jun-19, Anonymous Employee ,,
414,Electrical engineer,4,"Current Employee, more than 3 years",It is nice people around you. Family kind of atmosphere. Here and there there are some fun projects to work on,Bad upper management. Yearly reviews can be painfull. Pretty slow career progression. Not a good work life balance package. You have to buy extra vacation time,16-Mar-19, Electrical Engineer in Auburn Hills, MI,
415,Average,4,"Current Employee, more than 3 years",Enough time to learn new things for freshers.,It is very difficult to adapt working culture,01-Aug-19, Mechanical Design Engineer in Chennai,,
416,work and life balance is hard to keep,3,"Current Employee, more than 1 year",awesome and existing work content,work and life balance is hard to keep,21-Nov-19, Senior Software Engineer ,,
417,IT Supply chain manager Analyst,4,"Current Employee, more than 10 years","Big company, good culture, values, good atmosphere",is temporary collaborating on a temporary project,18-Jul-19, Anonymous Employee in Barcelona,,
418,Great Place to Work,5,"Current Employee, less than 1 year",Great perks & benefits Great people,Not close to city center,24-Jul-19, Engineer ,,
419,Great Place to work,5,"Former Employee, more than 10 years",Great company with innovation and willing to support their personnel on preparation.,Work environment needs to be improved.,11-Jun-19, Industrial Engineer in Matamoros, Tamaulipas, Tamaulipas
420,Great Place to work,5,"Former Employee, more than 10 years",Great company with innovation and willing to support their personnel on preparation.,Work environment needs to be improved.,11-Jun-19, Industrial Engineer in Matamoros, Tamaulipas, Tamaulipas
421,Great place to develop personally and professionally,5,"Current Employee, more than 1 year","Familiar atmosphere, no visible hierarchy in the office, collaborative people and good energy. Very good organizational approach from management. Continuous training on board and possibility to grow and develop.",Honestly I don't see any.,12-May-19, Sustaining Engineer in Kraków,,
422,Good experience.,5,"Former Employee, less than 1 year",Qualified and experienced peers. Good tools.,Relationship between business and IT teams could be better.,13-Jun-19, IT PMO Senior Portfolio Advisor in Troy, MI,
423,Intern,5,Former Employee,Work-life balance and better perks.,There are no cons with respect to this company.,08-Jul-19, Anonymous Employee ,,
424,good,5,Former Employee,very good with good work life balace,everything is going good nothing cons to say,01-Jul-19, Anonymous Employee ,,
425,Low stress work environment with beyond poor management,1,"Former Employee, more than 1 year","Low stress, great work schedule, pay is more than sufficient, most employees are friendly and approachable","Beyond poor management, any good suggestions fall on deaf ears, if you are incompetent at your job they'll create one for you and promote you, if you worked with your manager at a previous job you get special treatment, safety isn't job number one, no ability for upward movement unless you complain all the time about your job and they'll put you in secret teams with more ability for growth, the older you are the less likely you'll keep your job through a restructuring of the company",01-Mar-19, Vehicle Operator in Pittsburgh, PA,
426,Easy work; but they will lay you off in a minute and will have you off for weeks.,2,Current Employee,Easy repetitive work; can learn different task,Being laid off within short notice,02-Oct-19,  ,,
427,Not so good,2,"Current Employee, less than 1 year","Salary is good, noone realyy check what you're doing on a daily basis","Lack of development oportunities for me, no transparency, hierarhical management style",07-Oct-19, Logistics Analyst in Kraków,,
428,Technical Leader,5,"Current Employee, more than 5 years","Good Work , Good Package",Located in ITPL - Travel,04-Jul-19, Technical Lead in Bangalore,,
429,IMDS material Engineer,4,"Current Employee, less than 1 year",Flexibility and decent people to understand each other in work,Sometime Higher management makes employee feel uncomfortable,18-Jun-19, Anonymous Employee in Chennai,,
430,Good for Working Students,4,"Current Employee, less than 1 year",Good payment for a working student. Good place to get experienced. Friendly and helpful co-workers.,"The company is so hierarchical, every decision and act takes time. Almost everyone is working in more than one project, because of that communication and coordination takes time.",15-Apr-19, Work Study Student in Wuppertal,,
431,High tech and fast paced,4,"Current Employee, more than 10 years","The company focuses on retaining a high-end, high-tech product portfolio. Work in this area can be pretty exciting and rewarding. The company management is supportive.",Very fast paced with schedules that cannot slip. Lots of new business - sometimes feels like more than the workforce can handle.,06-Mar-19, Senior Manager in Troy, MI,
432,Pros and Cons,4,"Former Employee, more than 5 years",Better work life balance and std. package,limited career growth and poor management,11-Jun-19, Anonymous Employee in Bangalore,,
433,Pretty good,4,Current Employee,Laid back atmosphere. Do not feel overworked at any time. That is not due to lack of work.,Automotive is a slow industry,22-May-19, Internship ,,
434,Financial Controller,4,"Current Employee, more than 1 year","good team spirit, supportive collegues, ...",bad erp system and it-performance,13-Jun-19, Financial Controller in Mattighofen, Upper Austria,
435,Good to work,4,"Current Employee, more than 1 year",Technical work is very good Flexible timings Career growth is too good,Management is not so good No recognition and appreciation No support from management related to technical stuffs,28-Mar-19, Senior Engineer in Bangalore,,
436,Good work life balance,3,"Current Employee, more than 1 year","Good environment , friendly management, no micromanaging","Average pay, slow growth, average complexity of work",27-Sep-19, Expert Systems Engineer in Kraków,,
437,We used to be great,2,Current Employee,Decent benefits Friendly co-workers Visionary early founders,"Acquisition ruined the company Tech is aimless with minimal or no real world significance Focus on short term corporate goals, sacrificing real long term research Our fleet is not growing Not hiring at all Good people leaving the company with no news or updates from the management, in USA or SG Feels like a fight for survival sometimes HR in USA is a joke",11-Mar-19, Anonymous Employee ,,
438,Good work culture,3,"Former Employee, more than 1 year",Learning related automotive it's good.,High pressure on work Dead line.,23-Sep-19, Software Engineer in Bangalore,,
439,Good Company with good management,4,"Former Employee, more than 1 year","Global expertise, good people, good culture","Favoritism, Partial to certain people- some managers",09-May-19, Anonymous Employee ,,
440,Software Engineer,3,"Current Employee, more than 3 years",Good company to work with.,Nothing much to say. I felt good.,21-Sep-19, Anonymous Employee in Bangalore,,
441,Great place to start off your career,4,"Current Employee, more than 5 years","As title says, it is great place to start your career. I have been working with Aptiv(previously Delphi Automotive Systems) for 7+ years. You will have great learning curve at the beginning.","As the number of years progressed, opportunity has reduced. No defined role which leads to good learbing at the beginning of career, but later feels like Jack of all, master of none.",09-Nov-18, Anonymous Employee ,,
442,No long term strategy,1,"Former Employee, more than 5 years","Well positioned portfolio, Compensation is good.","Leadership does not follow company's values, lack of synergy among different business units.",11-Oct-19, Senior Director in Troy, MI,
443,Super company,4,Current Employee,Good to learn this place,HR not like HR nod good,16-May-19,  ,,
444,Braga Technical Center,4,"Current Employee, more than 1 year",- Young Team; - Very nice atmosphere; - New Open-space office;,"- Focus on results, not people; - Technical Center is still starting; - Not so much travel as they promise",12-Mar-19, Anonymous Employee in Braga,,
445,Not at all comfortable place to work,1,"Current Employee, less than 1 year",Nothing much. Retirement benefits are good.,"I was interviewed for one role and was given totally different role when I joined. Lot of work pressure. Management not sensible. Poor work culture . Expected to work on weekends, infact 24x7. They intentionally keep 1 hr meetings at 6pm. I was assigned bugs on Day2. My worst job experience so far in life.no good Chairs. No work life balance. I have to survive until I find a good job",12-Jun-19, Anonymous Employee in Troy, MI,
446,AptivMobility,5,"Current Employee, more than 1 year","Great colleagues, great work space environment. Awesome industry.",Progression is non existent unless you're friends with the management.,07-Apr-19, Vehicle Operator in Las Vegas, NV,
447,Design engineer,4,"Current Employee, more than 3 years",good working environment and no full night shifts,no flexible shift and alternate Saturday working,03-May-19, Design Engineer in Chennai,,
448,"Not bad, but not good",3,"Former Employee, more than 8 years",You can learn a lot about the manufacturing processes and Supply Chain.,"Bad management. High stress. Ungratefull. Salary for high positions is good, whil for lower positions is very low compared to other companies.",30-Jul-19, Logistics Supervisor ,,
449,Polyvalent at Aptiv,1,"Current Employee, more than 1 year","Salary always on time,health care,paid transport to work.","Very frequent work at saturdays and working over time (although paid over time) Very stressful,unhealthy relationships between employees Broken and half decent machines,tools and equipment Bad work environment (super high temperatures with bad air flow) Employees with the same amount of hours at the same positions,even started working for the company the same day, getting different salaries (didnt make any penalties yet their salaries being poorly calculated, a.k.a. robbed,if you prefere) Super high unrealistic expectations from employees,that are working on broken/malfunctioning machines and tools Family and long time relationships dictating who gets promoted and who doesn't",17-Feb-19, Polyvalent Operator in Novi Sad,,
450,I have loved working here so far. The people genuinely care about each other and their users!,5,Current Employee,"Great team, management listens to employees and works to address any concerns, good atmosphere even after acquisition. The employees genuinely care about making a safe and reliable product.",Still maturing as an organization,11-Jan-19, Senior Software Engineer in Boston, MA,
451,Excellent learning Opportunity,4,"Current Employee, more than 1 year",excellent team to work with upcoming technologies,facilities provided are not that much good,24-Apr-19, Software Engineer in Bangalore,,
452,Software Engineer,1,"Current Employee, more than 1 year",Not a single thing to look forward to.,worst culture ever one can imagine,29-Oct-19, Anonymous Employee ,,
453,In state of flux,1,"Former Employee, more than 8 years",Cater to milenials. Try to add youth to an aging workforce.,Aptiv is tryy to figure out what they are. Constant change and no security. Moving jobs offshore whenever possible.,17-Sep-19, Financial Analyst in Troy, MI,
454,Great Company to work with,5,"Former Employee, more than 1 year","Good environment, good benefits, I would recommend it.",During the time I worked there I saw no Cons,31-Mar-19, Sales Engineer in Ciudad de Mexico,,
455,Sinking Ship. Run fast in the opposite direction,1,"Former Employee, more than 1 year",None that are worth the headache.,No leadership. Terrible work environment. Executives lie through their teeth about the state of the company... which is not good.,16-Jul-19, Senior in East Las Vegas, NV,
456,Fast paced working environment,3,Current Employee,Responding to market trends in a fast way,Responding to market trends in a safe way,06-Aug-19, Anonymous Employee ,,
457,VO,2,"Former Employee, more than 1 year",Awesome technology Good working environment Friendly colleague,"Bad management, lots of last minute plans, double management, managers are not on the ground and lack of knowledge. Bad communication between different teams, always make it mess. Zero career progression of current team, unless transfer to other teams and start as a fresh. Managers are actually do nothing but get more pay. Resources are limited for fresh to learn and get trained.",22-Apr-19, Anonymous Employee ,,
458,Toxic chaos.,2,"Former Employee, less than 1 year","Pay above market, reasonably good IT.","Too many international development groups, too much offshoring. Inefficient communications as a result of offshoring. Chaotic product development and late hours.",01-Jul-19, Software Developer in Kokomo, IN,
459,Good to join,3,"Current Employee, more than 8 years",Good management Pushing exelence clear procedues Young team high turn over,Long working hours working week end overtime cultur massive turn over ressources are not valuable,29-Jul-19, Manufacturing Engineering Manager in Tangier,,
460,"Over worked and under staffed, but $ is good",3,"Former Employee, more than 10 years","Used to be a great company with great benefits. Now the health care is crazy expensive, you get 401k match to a certain %, they do pay well (thank god or you couldn't afford your health care), people were great, Sadly that is all I have.","Seems like the folks at the top just like to cut, cut, cut when it comes to resources and I'm talking the human kind. People are doing the work of at least 2 people if not 3 in some cases. Some folks leave the office but not the job, they get home and are back at work for meetings or to finish up things. There is no training or advancement for most, they have the 'golden' ones already picked to promote. Suits at the top have no idea what goes on down below in the trenches I believe or they wouldn't take the actions they do. I have no idea what their game plan is as of late but it looks like a suicide mission. Decisions as of late have done nothing for the quality of the product, people or name Aptiv. Changes to the health care plan out of pocket are so high many don't even go to the Dr. now because you have to pay for it all yourself, definitely not a perk.",29-Nov-18, Design Engineer in Troy, MI,
461,Good company,4,Current Employee,"Nice company, can learn many things",Nothing to say about cons,29-Mar-19, Anonymous Employee ,,
462,"Company New Beginning, product and culture",3,"Former Employee, more than 3 years",New Company some opportunity trying to created new culture.,"new company leadership direction not solidified, some inexperienced and not prepared, not sure of direction.",03-Jun-19, Advanced Manufacturing Engineer in Auburn Hills, MI,
463,Aptiv is a good company outside India,3,"Current Employee, more than 3 years",Unethical behavior and work is strictly prohibited,Salary is very less compared to actual standards,10-Jun-19, Anonymous Employee in Kollam,,
464,"if you are used to internal politics, do join, you will enjoy",1,"Current Employee, less than 1 year","office timing is good, transportation facility, food, training's","cannot work independently, lot of internal politics, everyone in organisation will try to pull you leg so that you don't grow",25-Jul-19, Deputy Manager in Dhāruhera,,
465,Good facilities and People,3,"Current Employee, less than 1 year",Great management and facilities provided by the company,Culture is not so good,12-Jul-19, Production Supervisor in Pimpri,,
466,Not so gud for growth,2,Former Employee,Good for fresher's to learn,"Politics , no growth .. not employee friendly,HR department is not gud",01-Jul-19, Senior Electrical Engineer in Bangalore,,
467,Good place to work and challenge yourself.,4,"Current Employee, more than 3 years","High technology projects, good management and nice work environment.",It's difficult to grow inside the company,20-Feb-19, Software Engineer in Querétaro, Querétaro, Querétaro
468,Good company to work with,3,"Current Employee, more than 1 year",1. Good Work life balance,No career growth for hardware,17-Jul-19, Technical Lead in Bangalore,,
469,Aptiv is a good company to work,3,"Current Employee, more than 8 years",Quality of work is very good,Work culture is not good. Late night and excess work is common,27-Jun-19, Anonymous Employee in Bangalore,,
470,Aptiv is a good company to work,3,"Current Employee, more than 8 years",Quality of work is very good,Work culture is not good. Late night and excess work is common,27-Jun-19, Anonymous Employee in Bangalore,,
471,Details,3,"Current Employee, more than 3 years",good work culture/place to learn,"the workload is high, work-life balance is not good",07-Jul-19, Team Lead ,,
472,Great Company,5,"Current Employee, less than 1 year",Working with absolutely brilliant people in a diverse environment is just great.,A bit of bureaucracy as in all large organizations.,01-Feb-19, Onsite Support Engineer ,,
473,Worst working environment. Huge bureaucracy. Lost of upper management levels and departments that are useless.,1,"Former Employee, more than 1 year",Large company leader in the industry,Lots of mid to upper management levels that are only looking not to be fired. No contribution to the business and they lie to the executives about the financials. They make unattainable comments they role out every month and goals never get accomplished since the actual plans are not followed. Work ethics at some director levels are extremely questionable,26-Feb-19, Director of Operations in Ciudad de Mexico,,
474,Good company,5,"Current Employee, more than 3 years",Flexible Work Hours and holiday schedule. Knowledgeable staff,Cant think of any Cons,21-Feb-19, Validation Engineer ,,
475,2 years at aptiv,4,"Current Employee, more than 1 year",Good company for your carrier growth.,medical is expensive compare to other company.,14-Feb-19, Project Manager ,,
476,Excellent place to learn and grow,4,"Current Employee, less than 1 year",Good Management Supportive peers Great work life balance,Salary structure is not uniform,16-Feb-19, Systems Engineer in Kraków,,
477,Project Engineer,4,Current Employee,Good Working Environment and humanly approach,"Nothing much, all is well and good",19-Feb-19, Anonymous Employee ,,
478,Sold out US workers and lied to those in Ireland,1,Former Employee,They subsidies the lunch room.,Management lacks integrity. Executives are allowed to discriminate against employees and are backed bu HR in doing so. Career growth has been stopped so excellent employees are forced to leave. Management also sold out US workers with move of the HQ to Ireland. They could have made it work for everyone if they chose. People in Ireland also feel lied to. Just no integrity.,06-Jan-19,  ,,
479,work experience,3,"Current Employee, more than 1 year",good growth for experience people,fresher dont have growth only experienced,06-Jun-19, Android Developer in Bangalore,,
480,Wonder Full Work Environment,4,"Former Employee, more than 3 years","Good Work, supportive Management, great Work-Life Balance",Growth Depends On the projects,14-Jan-19, Anonymous Employee in Bangalore,,
481,Poland opinion,4,"Current Employee, more than 1 year",Nice and help-full people in team,Management do not see why people left this company,23-Dec-18, Systems Test Engineer in Kraków,,
482,"Good work culture, decent company",3,"Former Employee, more than 3 years","Good work environment, flexible timings but need to maintain 45 hours per week.","Most of the projects are in maintaince phase, not much development work. Some projects demand to work for more hours and sometimes weekends.",26-Mar-19, Senior Software Engineer in Bangalore,,
483,No Balance,3,"Current Employee, more than 3 years",Can learn new skills and good projects.,No work life Balance. Too much pressure and stress.,15-Apr-19, Software Engineer in Bangalore,,
484,Company with good opportunities in automotive sector.,5,Current Employee,Good place to start with.,No downsides as such.It also depends on the team one is working with.,26-Nov-18, Anonymous Employee ,,
485,Work full of young professionals,5,Current Employee,"Many challenges, new projects, elastic work hours, well organised, amazing team integration",There are no cons for me at this moment,19-Nov-18, Anonymous Employee ,,
486,Very Nice company to work for! Happy tonwork here,4,"Current Employee, more than 3 years",Employee friendly Management is good Good benefits to employees Flexible working hours Nice learning No pressure,Not faced any till now,16-Nov-18, Advanced Applications Engineer in Whitefield,,
487,Software Verification Engineer - Student,4,Current Employee,I work at a student lab. Great place to work part time while pursuing a degree. Leadership that is very understanding about school being a priority.,Communication with other Aptiv branches can be sticky,24-Sep-18, Software Verification Engineer ,,
488,Average,3,"Current Employee, more than 5 years",Average Pay Lots of OT New equipment always available when old one phase off,"Engineer have weak knowledge, do not know how to solve problems only act as a coordinator Nothing to learn after 2 years and stay stagnent",25-Jan-19, Test EA in Singapore,,
489,good,3,Current Employee,good company in automotive sector,it could be more benefits for permanent workers,17-Apr-19, Product Engineer ,,
490,good,3,Current Employee,good company in automotive sector,it could be more benefits for permanent workers,17-Apr-19, Product Engineer ,,
491,So so,2,"Former Employee, more than 10 years",Good for New graduates to get experienced,"Low salary, long working hours, no reepect to loyalty",01-Apr-19, IT Operations Manager in İzmir,,
492,Ordring MPC,3,"Former Employee, more than 1 year",Great knowledge Good experience,Manage the stress Have work done of very short time,11-Apr-19, Anonymous Employee in Tangier,,
493,Good for freshers,3,"Current Employee, less than 1 year",Good for freshers.you can learn,But so much politics inside team .,28-Mar-19, Assistant PE Engineer in Bangalore,,
494,Professional,4,"Current Employee, less than 1 year",1. Very Less Work Pressure 2. Decent Pay 3. Good HR,1. No environment to learn new things,21-Oct-18, Senior Design Engineer in Chennai,,
495,Very good company,4,Former Employee,Good leadership and great colleagues,Frequent ups and downs and temp layoffs,22-Oct-18,  ,,
496,Normal company,3,"Current Employee, more than 3 years",There is a good work enviroment,There are some Low benefits,10-Mar-19, Quality Engineer ,,
497,Advanced engineer,3,"Current Employee, more than 1 year",You can explore many things related to work,You cannot spend time with family too much of work,02-Mar-19, Anonymous Employee ,,
498,Good job for start,4,"Current Employee, more than 3 years","people, atmosphere, events, benefits, multisport",payment but the rest is ok,11-Oct-18, Software/Systems Test Engineer in Kraków,,
499,"Run, don't walk to nearest exit.",1,"Former Employee, less than 1 year","Above market pay, good PTO, Troy campus is beautiful.",Layoffs are a common occurrence here so job security is non existent. 400 people were laid off on August 31st with more layoffs in Q4. My new recruiter refuses to work with Aptiv or Delphi to place anybody there due to the constant layoffs. (Wish I knew that before I took the job),21-Sep-18,  in Troy, MI,
500,What happens in Vegas...,5,"Current Employee, less than 1 year","Salary is very competitive for the area and the cost of living is reasonable, allowing a nice quality of life if you can take the summer heat. Nice to know one can afford to run the A/C and still eat something other than ramen (although there are some terrific noodle places here). Holiday/PTO option is generous when compared to other similar positions in this city and other benefits, such as complimentary snacks/beverages/happy hours, provide additional perks. Casual, comfortable, relaxed dress code is appropriate and much appreciated in the desert. Time off requests are easily approved and having a life outside of work is not just understood, but is actively encouraged.","Extremely rapid growth premature to having functioning support systems in place can cause confusion, especially in new hires who are used to traditional, established, old-school style business . Rapid changes, which seem to be the norm, not the exception, might be difficult for employees who are used to rigid structure, micro-managing and strict schedules. No covered parking for employees.",06-Apr-18, Vehicle Operator in Las Vegas, NV,
501,Best company to work,5,"Current Employee, less than 1 year",Nice work environment and friendly co-workers,Under staffed for specific roles including mine.,14-Sep-18, Salesforce Administrator in Troy, MI,
502,Stay away from APTIV chennai office,1,"Former Employee, less than 1 year",No Pros at this company,Saturday working day which will not be communicated during recruitment. they will not allow you to take even 5 leaves in a year.,20-Mar-19, Senior Engineer in Chennai,,
503,Not a bad place to work,3,Current Employee,"Work culture, Flexible timings, Not much Politics","Infrastructure, Nil to Less Growth, Working on outdated technologies",08-Feb-19, Anonymous Employee ,,
504,Good place to start your career.,3,"Current Employee, more than 3 years",#NAME?,#NAME?,13-Jan-19, Senior Software Engineer in Bangalore,,
505,Mixed bag,3,"Current Employee, more than 3 years",Good work environment concentrates on individual and team work,lacks proper management always in a chaos,18-Feb-19, Embedded Software Engineer in Kokomo, IN,
506,Hybrid Systems Engineer,1,Former Employee,"Challenging work and responsibilities. Very capable systems and tools, reference material online. Strong core structure.","Outside Leadership seems to be focused on financials. No longer puts customer or employees as it pillars. Customer Focus is gone, Employee growth and stability is gone. Quality is not focus if it requires investment. Older engineers skating by until retirement. Internal departments no longer working together and instead have to worry about budgets. Sad what this has become.",24-Sep-18, Anonymous Employee ,,
507,Senior Financial Analyst,1,"Former Employee, less than 1 year","Competitive pay, hiring process is straightforward, vacation and holiday is comparable to the big 3, and facilities in Troy are modern and clean.","If you have any self-respect, do not work here. The company is highly disorganized. Finance processes are undocumented and adhoc. Management is out to please themselves and will stab you in the back if need be.",01-Nov-18, Senior Financial Analyst in Troy, MI,
508,Electrical Engineer,3,Current Employee,Work environment Good experience Flexibility,"Overworked, lacking resources Raises not as large as competition Great workers lost to other companies with better benefits",18-Oct-18, Anonymous Employee ,,
509,Quality,3,"Current Employee, more than 5 years",great friendship and motivated employees,wages and social benefits are not competetive,27-Dec-18, Anonymous Employee ,,
510,Current State,1,"Current Employee, more than 10 years",Product Lines are innovative and high-tech,"Leadership is only concerned with pleasing Wall Street, mergers and acquisitions, and short-term cost cutting at the expense of continuous improvement. People, required skill sets, and basic business fundamentals are not a concern.",12-Oct-18, Anonymous Employee ,,
511,Active safety software engineer,3,Current Employee,You will learn a lot.,Way too much work pressure,22-Nov-18, Anonymous Employee ,,
512,Driver,2,Current Employee,Great company to be a part with,Not so great company to be a part with,08-Nov-18, Anonymous Employee ,,
513,Account Manager,1,Current Employee,They offer good base salary,They do no have a good work life balance,14-Jan-19, Anonymous Employee ,,
514,X,3,"Current Employee, more than 1 year",Good work environment and good opportunity to learn.,Some procedures are not completely established,03-Oct-18, Validation Engineer in Nuevo Laredo,,
515,Senior Financial Analyst,3,"Current Employee, less than 1 year",Good company and pay and bonus,Layoffs after only 5 months of employment,17-Sep-18, Anonymous Employee ,,
516,"it's a job, not a career",2,"Current Employee, more than 10 years","Good pay, flexible work schedule","No opportunity for advancement or even moving to a different job, workforce reductions in order to satisfy investors, complete lack of leadership. I have never before seen an organization where supervisors and managers are clueless about what their employees do. The division in Warren is split in 2 groups- wiring and components. There is no ability to move from one to another - even for posted jobs you apply for.",01-Mar-18, Engineer in Warren, OH,
517,"Great Place to work, potential to grow",5,"Current Employee, less than 1 year","Great Start Salary, job is relatively easy, yet very important at the same time, safety is a major concern, and the company really lets you know that they have your best interest in mind. Literally working on the future of transportation. they provide snacks and drinks to make sure we are well hydrated and have energy for the road.","long hours sitting would be my top complaint and rotating 7 day schedule, which the schedule thing really isn't that bad but other than those I have no real gripes.",17-Aug-18, Vehicle Operator in Las Vegas, NV,
518,Self driving autos,5,"Current Employee, less than 1 year","There are a lot of pros for this job, you have great benefits, great hours, it is a wonderful company to work for everybody is friendly they care about their employees you couldn't find a better job than this one",There are no major cons. The only thing that can sometimes bother people is it involves a lot of stress being on the road with other drivers and things are constantly changing but they're changing for the good,09-Apr-18, Safety Driver in Las Vegas, NV,
519,Major transition,4,"Current Employee, more than 10 years",Good working atmosphere Interesting advanced high-tech projects Big enough to offer internal relocation to wide variety of jobs.,Chaotic management Struggles a bit to define a new identity after splitting into Aptiv and Delphi Technologies. Micro-management happens quite a lot Rather rore finance than technology driven,24-Aug-18, Engineering Manager ,,
520,If you love driving and working with a different person each day go apply,5,Current Employee,"You meet a new person everyday. You will be apart of the future - helping perfect self driving cars. You get benefits, and free food occasionally.","You are stuck in a car for 8-9 hours a day with a random person ( Not so bad if you have something in common with the person). The company is still very new, so you have to be able to adapt quickly.",04-Sep-18, Anonymous Employee ,,
521,Work Life Balance - Salary is Very Good,5,"Current Employee, less than 1 year",I am working as a Mechanical Engineer in Aptiv. Company's growth is very good. Work life balance. Salaries are on par with Industries. Salaries are very good compared to Mechanical industries. Opportunities are more for software engineers.,No on site opportunities. Growth is less for mechanical engineers.,07-Mar-18, Technical Leader in Bangalore,,
522,Software Development Intern - Autonomous Vehicle Mapping,5,"Former Employee, less than 1 year",Tons of opportunities to demonstrate your worth and step up to the plate. Expansion of bigger city (Boston and Pittsburgh) offices will attract much better tech talent.,Masters or PhD required to work on certain teams.,21-Aug-18, Software Engineer(Internship) in Pittsburgh, PA,
523,It Depends...,3,"Current Employee, less than 1 year",Terrific people in the ranks. Amazing potential for the technologies it develops. Global reach and diversity. Very fair/good pay. Exciting industry. Engineers do best here...senior executives seem to rotate or leave regularly.,"Remarkably lean resources and a very short-term, shareholder return at-all-cost mindset. Candor and transparency are not hallmarks of leadership. As you read throughout the reviews, people are walked out for cost reasons on a daily basis.",08-Mar-18, Anonymous Employee ,,
