,Title,Rating,Employee_Status,Pros,Cons,Date_Posted,Employee_Title,Location,
92,Good workplace,3,Current Employee,Will have good learning curve,Nothing to be mentioned now,03-May-21, Software Engineer in Detroit, MI,
93,"Company is great, but your experience with the company greatly depends on the team you work with.",2,"Former Employee, more than 1 year",good learning and decent salary.,"Layoffs, not enough to do, gets stagnant",18-Apr-21, Anonymous Employee ,,
94,Good Place to work and start a carrier.,5,Former Employee,Good Place to learn and grow,No much of negatives here.,25-Mar-21, Anonymous Employee ,,
95,Mid field org,3,Current Employee,Team spirit and good place to learn,Familiar environment and o enough space for growth personally.,29-Apr-21, Test Engineer in Braga,,
96,Can be better but good more or less,3,"Current Employee, more than 1 year",#NAME?,#NAME?,20-Mar-21, Embedded C Developer in Kraków,,
97,Great Culture and Company That Cares,4,Current Employee,Not much politics and very few ego's. Everyone is willing to help which is refreshing. Not very tough recruiting A Player Talent as Aptiv is a place where most want to work.,Need to focus on career growth and promoting within. Not much movement with internal candidates which turns into employees leaving.,13-Jan-21, Senior Corporate Recruiter in Troy, MI,
98,Cool Workplace!,5,"Current Employee, more than 3 years","Work Life Balance, Helpful colleagues, decent pay, great atmosphere, good learning opportunity","No major cons, sometimes the workload is more",18-Mar-21, Software Quality Engineer in Wuppertal,,
99,Good place to work,5,"Former Employee, more than 5 years",It is a good place to work. Very diverse work group,Lots of positions moved to other countries,16-Mar-21, Senior CAD Designer in Troy, MI,
100,R&D for automotive,5,Current Employee,"Nice team, interesting technologies, development opportunities.",High velocity of everyday work.,22-Mar-21, Technical Lead in Kraków,,
101,SoftwareEngineer,1,Current Employee,salary is ok in mideast,Lack of team building activity,10-May-21, Senior Embedded Software Engineer in Kokomo, IN,
102,best school,3,"Current Employee, more than 10 years","good company to get experience in automotive industry, good team","flexible working hours, usually stressfull and work under pressure",21-Apr-21, Program Manager in Paris,,
103,Good work life balance,3,"Former Employee, more than 1 year","Not so much pressure, good benefit",management is a little chaos,24-Apr-21, Algorithm Engineer in Detroit, MI,
104,Senior Software Engineer,3,Current Employee,Good work life balance Very good pay,Less learning Too many people for a job,23-Apr-21, Senior Software Engineer ,,
105,Good for Learning,4,"Former Employee, more than 3 years","Lots of work, good in the learning phase of career","Poor Management, Management has to improve. Still a company with old mindset",10-Mar-21, Advanced Software Developer in Bangalore,,
106,Constantly changing to improve,3,"Current Employee, more than 10 years","This company has the drive to constantly improve. The co-workers mostly act like family members, they cooperate. There is a lot of freedom for individual targets within the given tasks.","Processes are introduced but not controlled if used, project staffing at the start is not always done on the perfect manner. You have to fight to get ahead, one is not promoted.",17-Mar-21, Systems Architect in Hildesheim,,
107,"Tech wise great, salary and work life balance not that good",3,"Current Employee, more than 1 year","Lots of oppurtunities , great learning",Less salary and facility is not good,30-Mar-21, Advanced Software Engineer in Bangalore,,
108,Good environment,3,"Current Employee, more than 1 year",Product based company and good salary,No work life balance but it depends on project,21-Apr-21, Senior Software Engineer in Bangalore,,
109,Very bad management,1,Current Employee,Good work for learning .,"1. No work life balance 2. People work 24/7 in this company 3. Ask everytime to work on weekends 4. No management to check your workload,they just give deadline 5. Very bad food 6. No seating arrangements 7. Give any competency work to anyone and suppose to give output as expert",16-Apr-21, Advanced Software Developer ,,
110,Very bad management,1,Current Employee,Good work for learning .,"1. No work life balance 2. People work 24/7 in this company 3. Ask everytime to work on weekends 4. No management to check your workload,they just give deadline 5. Very bad food 6. No seating arrangements 7. Give any competency work to anyone and suppose to give output as expert",16-Apr-21, Advanced Software Developer ,,
111,NICE,4,"Current Employee, more than 3 years","Open working environment and knowledge sharing,","always too much work need to finish at the same time, need the overtime work without payment.",09-Mar-21, Algorithm Engineer in Suzhou, Jiangsu, Jiangsu
112,Good company to work,4,Current Employee,Exciting projects to work on,Organizational skills are not up to the mark,13-Mar-21, Anonymous Employee ,,
113,Great,4,"Current Employee, more than 1 year","Great projects, good place to learn new stuff",Company is not well organised,15-Mar-21, BI Developer in Kraków,,
114,Good to work,4,"Former Employee, more than 1 year",Good learning curve Good Projects Good Management,Less Salary Less benefits No work life balance,11-Mar-21, Software Test Engineer in Troy, MI,
115,Bad company,1,"Former Employee, more than 1 year","Not that I can think of, noup.","Small salary, no paid overtime, and night shifts.",01-May-21, Driver/Forklift Operator and Cargo Handler ,,
116,Great atmosphere,5,"Former Employee, more than 1 year",Leadership always improving and considering employees. Provided support during COVID. Always conducting survey to get employees opinion.,Not easy to find the right person that knows what you are trying to solve but have to do some searching.,18-Feb-21, Software Engineer in Gothenburg,,
117,Greate working Enviroment,5,Current Employee,"flat & flex organization, quick response, quick action",not very sure about this,06-Mar-21, Technical Manager in Tokyo,,
118,"Excellent Company, great people focus",5,"Current Employee, more than 10 years","Quality of work, people caring, innovation",Little bit work life balance,06-Mar-21, Chief Engineer in Bangalore,,
119,Aptiv Born To Move,4,"Current Employee, more than 10 years",Great place to work and learn in leading automotive technology,No concerns on Aptiv Bangalore,04-Mar-21, Engineering in Bangalore,,
120,Was a great team,5,"Former Employee, more than 1 year",#NAME?,- Had a lot of corporate bloat software that was complex and difficult to manage what was important and what wasn't,30-Jan-21, Electrical Engineer in Auckland, Auckland,
